titleID	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	availabilityStart	availabilityEnd
tt1584684	movie	999 Rupayalu Matrame	999 Rupayalu Matrame	0	2007	\N	\N	Comedy	2021-07-26T00:00:00	2022-10-29T00:00:00
tt1590969	movie	Das Gedächtnis von Bombay	Das Gedächtnis von Bombay	0	1993	\N	63	Documentary	2021-12-18T00:00:00	2022-03-26T00:00:00
tt1599296	movie	Going Down in LA-LA Land	Going Down in LA-LA Land	0	2011	\N	104	"Comedy,Drama,Romance"	2021-06-24T00:00:00	2022-12-07T00:00:00
tt1606246	movie	Iddaru Attala Muddula Alludu	Iddaru Attala Muddula Alludu	0	2006	\N	\N	\N	2021-06-09T00:00:00	2022-07-26T00:00:00
tt1612241	movie	Au Revoir My Paris Heart	Au Revoir My Paris Heart	0	2010	\N	102	"Comedy,Drama"	2021-05-21T00:00:00	2022-03-17T00:00:00
tt1620570	movie	Paradiso bianco - Spedizione italiana al Caracorum comandata da S.A.R. il Duca di Spoleto	Paradiso bianco - Spedizione italiana al Caracorum comandata da S.A.R. il Duca di Spoleto	0	1929	\N	80	Drama	2021-10-07T00:00:00	2022-11-03T00:00:00
tt1628768	movie	The Bird Catcher	The Bird Catcher	0	2010	\N	83	"Adventure,Drama,Thriller"	2021-12-10T00:00:00	2022-06-06T00:00:00
tt1637664	movie	Weird Tales 3: The Pioneer's Lost Trunk	Weird Tales 3: The Pioneer's Lost Trunk	0	2009	\N	60	Documentary	2021-02-22T00:00:00	2022-11-17T00:00:00
tt1646203	movie	Two Faces of My Girlfriend	Du eolgurui yeochin	0	2007	\N	117	"Comedy,Drama,Romance"	2021-03-10T00:00:00	2022-09-24T00:00:00
tt1653994	movie	"Alles andere kann ich sehen, doch solche Menschen nicht"	"Alles andere kann ich sehen, doch solche Menschen nicht"	0	1980	\N	90	Documentary	2021-02-08T00:00:00	2022-10-27T00:00:00
tt1663637	movie	Dilbert	Dilbert	0	\N	\N	\N	Comedy	2021-03-12T00:00:00	2022-02-26T00:00:00
tt1669784	movie	Country Love Song	Country Love Song	0	\N	\N	\N	Romance	2021-04-19T00:00:00	2022-08-23T00:00:00
tt1677570	movie	Le vite possibili	Le vite possibili	0	2009	\N	50	Documentary	2021-11-29T00:00:00	2022-08-30T00:00:00
tt1686088	movie	Pre-Madonna	Pre-Madonna	0	2004	\N	\N	Music	2021-09-29T00:00:00	2022-01-31T00:00:00
